WordItem,OldNew,ItemType,trialsStudy1.thisRepN,trialsStudy1.thisTrialN,trialsStudy1.thisN,trialsStudy1.thisIndex,trialsTest.thisRepN,trialsTest.thisTrialN,trialsTest.thisN,trialsTest.thisIndex,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textBlank500.started,textBlank500.stopped,textStudyWord.started,textStudyWord.stopped,textWaitScreen.started,textWaitScreen.stopped,keyWaitScreen.keys,keyWaitScreen.rt,keyWaitScreen.started,keyWaitScreen.stopped,textTestWord.started,textTestWord.stopped,keyTest_yes_no.keys,keyTest_yes_no.rt,keyTest_yes_no.started,keyTest_yes_no.stopped,textEnd.started,textEnd.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,SONA_ID,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,29.716887099988526,None,e,4.938317299995106,29.716887099988526,None,,,,,,,,,,,,,,,,,,,,,,,12345,2020_Jun_08_1556,Example_Experiment,2020.1.3,29.94903273587624,
PROFESSOR,Old,Occupations,0,0,0,2,,,,,,,,,,,37.226121199986665,None,35.89259380000294,None,,,,,,,,,,,,,,,,,,,12345,2020_Jun_08_1556,Example_Experiment,2020.1.3,29.94903273587624,
ENGINEER,Old,Occupations,0,1,1,7,,,,,,,,,,,39.6949195000052,None,37.72592789999908,None,,,,,,,,,,,,,,,,,,,12345,2020_Jun_08_1556,Example_Experiment,2020.1.3,29.94903273587624,
LAWYER,Old,Occupations,0,2,2,1,,,,,,,,,,,42.1978210999805,None,40.195123999990756,None,,,,,,,,,,,,,,,,,,,12345,2020_Jun_08_1556,Example_Experiment,2020.1.3,29.94903273587624,
COURIER,Old,Occupations,0,3,3,3,,,,,,,,,,,44.699631900002714,None,42.715351899998495,None,,,,,,,,,,,,,,,,,,,12345,2020_Jun_08_1556,Example_Experiment,2020.1.3,29.94903273587624,
PLUMBER,Old,Occupations,0,4,4,10,,,,,,,,,,,47.20244850000017,None,45.20138329998008,None,,,,,,,,,,,,,,,,,,,12345,2020_Jun_08_1556,Example_Experiment,2020.1.3,29.94903273587624,
NURSE,Old,Occupations,0,5,5,6,,,,,,,,,,,49.713798399985535,None,47.70276709998143,None,,,,,,,,,,,,,,,,,,,12345,2020_Jun_08_1556,Example_Experiment,2020.1.3,29.94903273587624,
CARPENTER,Old,Occupations,0,6,6,8,,,,,,,,,,,52.20739289998892,None,50.20524929999374,None,,,,,,,,,,,,,,,,,,,12345,2020_Jun_08_1556,Example_Experiment,2020.1.3,29.94903273587624,
TEACHER,Old,Occupations,0,7,7,4,,,,,,,,,,,54.71035929999198,None,52.70747890000348,None,,,,,,,,,,,,,,,,,,,12345,2020_Jun_08_1556,Example_Experiment,2020.1.3,29.94903273587624,
JANITOR,Old,Occupations,0,8,8,9,,,,,,,,,,,57.21203979998245,None,55.21040919999359,None,,,,,,,,,,,,,,,,,,,12345,2020_Jun_08_1556,Example_Experiment,2020.1.3,29.94903273587624,
REVEREND,Old,Occupations,0,9,9,5,,,,,,,,,,,59.71551889998955,None,57.71380299999146,None,,,,,,,,,,,,,,,,,,,12345,2020_Jun_08_1556,Example_Experiment,2020.1.3,29.94903273587624,
COBRA,Old,CW,0,10,10,11,,,,,,,,,,,62.21745539997937,None,60.21564519999083,None,,,,,,,,,,,,,,,,,,,12345,2020_Jun_08_1556,Example_Experiment,2020.1.3,29.94903273587624,
SALESMAN,Old,Occupations,0,11,11,0,,,,,,,,,,,64.72011070000008,None,62.71817359997658,None,,,,,,,,,,,,,,,,,,,12345,2020_Jun_08_1556,Example_Experiment,2020.1.3,29.94903273587624,
,,,,,,,,,,,,,,,,,65.22074759998941,None,,,65.72095239997725,None,i,1.7181292999885045,65.72095239997725,None,,,,,,,,,,,,,12345,2020_Jun_08_1556,Example_Experiment,2020.1.3,29.94903273587624,
REVEREND,Old,Occupations,,,,,0,0,0,5,,,,,,,69.62525660000392,None,,,,,,,,,68.00542380000115,None,y,1.5694010000152048,68.00542380000115,None,,,,,,,12345,2020_Jun_08_1556,Example_Experiment,2020.1.3,29.94903273587624,
JANITOR,Old,Occupations,,,,,0,1,1,9,,,,,,,70.3919928999967,None,,,,,,,,,70.12494449998485,None,n,0.2340637000161223,70.12494449998485,None,,,,,,,12345,2020_Jun_08_1556,Example_Experiment,2020.1.3,29.94903273587624,
PYTHON,New,CWLure,,,,,0,2,2,16,,,,,,,70.99278770000092,None,,,,,,,,,70.89227089998894,None,y,0.06686710001667961,70.89227089998894,None,,,,,,,12345,2020_Jun_08_1556,Example_Experiment,2020.1.3,29.94903273587624,
COURIER,Old,Occupations,,,,,0,3,3,3,,,,,,,71.55979070000467,None,,,,,,,,,71.49345690000337,None,n,0.03348840001854114,71.49345690000337,None,,,,,,,12345,2020_Jun_08_1556,Example_Experiment,2020.1.3,29.94903273587624,
PLANK,New,UnrelLure,,,,,0,4,4,23,,,,,,,72.16045579998172,None,,,,,,,,,72.06044639999163,None,y,0.04231570000411011,72.06044639999163,None,,,,,,,12345,2020_Jun_08_1556,Example_Experiment,2020.1.3,29.94903273587624,
PROPAGANDA,New,UnrelLure,,,,,0,5,5,22,,,,,,,73.19476749998285,None,,,,,,,,,72.66345389999333,None,n,0.4794732999871485,72.66345389999333,None,,,,,,,12345,2020_Jun_08_1556,Example_Experiment,2020.1.3,29.94903273587624,
