WordItem,OldNew,ItemType,trialsStudy1.thisRepN,trialsStudy1.thisTrialN,trialsStudy1.thisN,trialsStudy1.thisIndex,trialsTest.thisRepN,trialsTest.thisTrialN,trialsTest.thisN,trialsTest.thisIndex,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textBlank500.started,textBlank500.stopped,textStudyWord.started,textStudyWord.stopped,textWaitScreen.started,textWaitScreen.stopped,keyWaitScreen.keys,keyWaitScreen.rt,keyWaitScreen.started,keyWaitScreen.stopped,textTestWord.started,textTestWord.stopped,keyTest_yes_no.keys,keyTest_yes_no.rt,keyTest_yes_no.started,keyTest_yes_no.stopped,textEnd.started,textEnd.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,29.411720799980685,None,e,17.041922699980205,29.411720799980685,None,,,,,,,,,,,,,,,,,,,,,,,AS,001,2020_Jun_08_1359,Exp4_unblocked_norest,2020.1.3,29.9803418902134,
PROFESSOR,Old,Occupations,0,0,0,2,,,,,,,,,,,49.05249509998248,None,47.12653639999917,None,,,,,,,,,,,,,,,,,,,AS,001,2020_Jun_08_1359,Exp4_unblocked_norest,2020.1.3,29.9803418902134,
TEACHER,Old,Occupations,0,1,1,4,,,,,,,,,,,51.52069699999993,None,49.55224009999074,None,,,,,,,,,,,,,,,,,,,AS,001,2020_Jun_08_1359,Exp4_unblocked_norest,2020.1.3,29.9803418902134,
CARPENTER,Old,Occupations,0,2,2,8,,,,,,,,,,,54.02308649997576,None,52.02069330000086,None,,,,,,,,,,,,,,,,,,,AS,001,2020_Jun_08_1359,Exp4_unblocked_norest,2020.1.3,29.9803418902134,
PLUMBER,Old,Occupations,0,3,3,10,,,,,,,,,,,56.525602399982745,None,54.549099800002296,None,,,,,,,,,,,,,,,,,,,AS,001,2020_Jun_08_1359,Exp4_unblocked_norest,2020.1.3,29.9803418902134,
COURIER,Old,Occupations,0,4,4,3,,,,,,,,,,,59.02902789998916,None,57.0259768999822,None,,,,,,,,,,,,,,,,,,,AS,001,2020_Jun_08_1359,Exp4_unblocked_norest,2020.1.3,29.9803418902134,
NURSE,Old,Occupations,0,5,5,6,,,,,,,,,,,61.53072249999968,None,59.52914529998088,None,,,,,,,,,,,,,,,,,,,AS,001,2020_Jun_08_1359,Exp4_unblocked_norest,2020.1.3,29.9803418902134,
COBRA,Old,CW,0,6,6,11,,,,,,,,,,,64.03328069997951,None,62.0312957999995,None,,,,,,,,,,,,,,,,,,,AS,001,2020_Jun_08_1359,Exp4_unblocked_norest,2020.1.3,29.9803418902134,
REVEREND,Old,Occupations,0,7,7,5,,,,,,,,,,,66.53661459998693,None,64.53350719998707,None,,,,,,,,,,,,,,,,,,,AS,001,2020_Jun_08_1359,Exp4_unblocked_norest,2020.1.3,29.9803418902134,
ELECTRICIAN,New,RelLure,0,8,8,12,,,,,,,,,,,69.03877009998541,None,67.03629559997353,None,,,,,,,,,,,,,,,,,,,AS,001,2020_Jun_08_1359,Exp4_unblocked_norest,2020.1.3,29.9803418902134,
