"rt","url","phase","trial_type","trial_index","time_elapsed","internal_node_id","subject","StartTime","stimulus","key_press","success","fullscreen","responses","word","colour","cor_response","stim_type","correct"
"101358.03500001202","forms/consent.html","Consent","external-html",0,103843,"0.0-0.0","7ogh73t398s9bdp",1588023009968,"","","","","","","","","",""
"1261.6050000069663","","Welcome","html-keyboard-response",1,105187,"0.0-2.0","7ogh73t398s9bdp",1588023009968,"<p>Welcome to the experiment. This experiment should take no longer than 5 minutes.</p> <p>Press any key to begin.</p>","75","","","","","","","",""
"","","","fullscreen",2,111573,"0.0-3.0","7ogh73t398s9bdp",1588023009968,"","","true","","","","","","",""
"911.3500000094064","","Instructions","html-keyboard-response",3,112489,"0.0-4.0-0.0","7ogh73t398s9bdp",1588023009968,"<p>Please read these instructions carefully.</p><p>In this 'experiment' you will be presented with words in coloured text. You will be identifying the colour of that text by pressing keys on the keyboard. J = Red, K = Yellow, L = Green. Please use just your dominant hand to make responses. Also, when prompted to provide a word, respond by typing in the word 'clean'. You will have 2 seconds to respond to each stimuli.</p><p>Press any key to begin.</p>","74","","true","","","","","",""
"1478.9250000030734","","Attention_Check","survey-text",4,114980,"0.0-4.0-1.0","7ogh73t398s9bdp",1588023009968,"","","","true","{""Attention_check"":""clean""}","","","","",""
"null","","Fixation","html-keyboard-response",5,118738,"0.0-5.0","7ogh73t398s9bdp",1588023009968,"<p id = 'fixation_stim', style = 'color: black; font-size: 60pt;'>+</p>","null","","","","","","","",""
"null","","Fixation","html-keyboard-response",6,118992,"0.0-6.0-0.0","7ogh73t398s9bdp",1588023009968,"<p id = 'fixation_stim', style = 'color: black; font-size: 60pt;'>+</p>","null","","","","","","","",""
"107.35500000009779","","Practice","html-keyboard-response",7,119105,"0.0-6.0-1.0","7ogh73t398s9bdp",1588023009968,"<p id = 'contingency_stim', style = 'color: yellow; font-size: 60pt;'>CLOCK</p>","74","","","","CLOCK","yellow","k","Practice","false"
"null","","Feedback","html-keyboard-response",8,120111,"0.0-6.0-2.0","7ogh73t398s9bdp",1588023009968,"<p id = 'fixation_stim', style = 'color: black; font-size: 60pt;'>XXX</p>","null","","","","","","","",""
"null","","Fixation","html-keyboard-response",9,120365,"0.0-6.0-0.1","7ogh73t398s9bdp",1588023009968,"<p id = 'fixation_stim', style = 'color: black; font-size: 60pt;'>+</p>","null","","","","","","","",""
"112.43499998818152","","Practice","html-keyboard-response",10,120481,"0.0-6.0-1.1","7ogh73t398s9bdp",1588023009968,"<p id = 'contingency_stim', style = 'color: red; font-size: 60pt;'>CLOCK</p>","74","","","","CLOCK","red","j","Practice","true"
"null","","Feedback","html-keyboard-response",11,120488,"0.0-6.0-2.1","7ogh73t398s9bdp",1588023009968,"<p id = 'fixation_stim', style = 'color: white; font-size: 60pt;'>BLANK</p>","null","","","","","","","",""
"null","","Fixation","html-keyboard-response",12,120741,"0.0-6.0-0.2","7ogh73t398s9bdp",1588023009968,"<p id = 'fixation_stim', style = 'color: black; font-size: 60pt;'>+</p>","null","","","","","","","",""
"120.80999999307096","","Practice","html-keyboard-response",13,120865,"0.0-6.0-1.2","7ogh73t398s9bdp",1588023009968,"<p id = 'contingency_stim', style = 'color: green; font-size: 60pt;'>PLATE</p>","74","","","","PLATE","green","l","Practice","false"
"null","","Feedback","html-keyboard-response",14,121869,"0.0-6.0-2.2","7ogh73t398s9bdp",1588023009968,"<p id = 'fixation_stim', style = 'color: black; font-size: 60pt;'>XXX</p>","null","","","","","","","",""
"null","","Fixation","html-keyboard-response",15,122122,"0.0-6.0-0.3","7ogh73t398s9bdp",1588023009968,"<p id = 'fixation_stim', style = 'color: black; font-size: 60pt;'>+</p>","null","","","","","","","",""
"203.6599999992177","","Practice","html-keyboard-response",16,122328,"0.0-6.0-1.3","7ogh73t398s9bdp",1588023009968,"<p id = 'contingency_stim', style = 'color: red; font-size: 60pt;'>UNDER</p>","74","","","","UNDER","red","j","Practice","true"
"null","","Feedback","html-keyboard-response",17,122333,"0.0-6.0-2.3","7ogh73t398s9bdp",1588023009968,"<p id = 'fixation_stim', style = 'color: white; font-size: 60pt;'>BLANK</p>","null","","","","","","","",""
"null","","Fixation","html-keyboard-response",18,122586,"0.0-6.0-0.4","7ogh73t398s9bdp",1588023009968,"<p id = 'fixation_stim', style = 'color: black; font-size: 60pt;'>+</p>","null","","","","","","","",""
"114.8900000116555","","Practice","html-keyboard-response",19,122704,"0.0-6.0-1.4","7ogh73t398s9bdp",1588023009968,"<p id = 'contingency_stim', style = 'color: green; font-size: 60pt;'>UNDER</p>","74","","","","UNDER","green","l","Practice","false"
"null","","Feedback","html-keyboard-response",20,123708,"0.0-6.0-2.4","7ogh73t398s9bdp",1588023009968,"<p id = 'fixation_stim', style = 'color: black; font-size: 60pt;'>XXX</p>","null","","","","","","","",""
"null","","Fixation","html-keyboard-response",21,123961,"0.0-6.0-0.5","7ogh73t398s9bdp",1588023009968,"<p id = 'fixation_stim', style = 'color: black; font-size: 60pt;'>+</p>","null","","","","","","","",""
"109.0950000070734","","Practice","html-keyboard-response",22,124072,"0.0-6.0-1.5","7ogh73t398s9bdp",1588023009968,"<p id = 'contingency_stim', style = 'color: green; font-size: 60pt;'>CLOCK</p>","74","","","","CLOCK","green","l","Practice","false"
"null","","Feedback","html-keyboard-response",23,125075,"0.0-6.0-2.5","7ogh73t398s9bdp",1588023009968,"<p id = 'fixation_stim', style = 'color: black; font-size: 60pt;'>XXX</p>","null","","","","","","","",""
"null","","Fixation","html-keyboard-response",24,125328,"0.0-6.0-0.6","7ogh73t398s9bdp",1588023009968,"<p id = 'fixation_stim', style = 'color: black; font-size: 60pt;'>+</p>","null","","","","","","","",""
"214.55000000423752","","Practice","html-keyboard-response",25,125544,"0.0-6.0-1.6","7ogh73t398s9bdp",1588023009968,"<p id = 'contingency_stim', style = 'color: green; font-size: 60pt;'>MONTH</p>","74","","","","MONTH","green","l","Practice","false"
"null","","Feedback","html-keyboard-response",26,126548,"0.0-6.0-2.6","7ogh73t398s9bdp",1588023009968,"<p id = 'fixation_stim', style = 'color: black; font-size: 60pt;'>XXX</p>","null","","","","","","","",""
"null","","Fixation","html-keyboard-response",27,126800,"0.0-6.0-0.7","7ogh73t398s9bdp",1588023009968,"<p id = 'fixation_stim', style = 'color: black; font-size: 60pt;'>+</p>","null","","","","","","","",""
